"Centroid Data for pc board: ""hs-64-spi.brd"" as of: 10/9/2022 9:46 PM",,,,,,
Measurements are in inches. Comma delimited,,,,,,
Only surface mount components included,,,,,,
,,,,,,
RefDes,Layer,LocationX,LocationY,Rotation,,
C1,Top,0.293,0.064,180,,
C2,Top,0.26,-0.204,270,,
C3,Top,0.206,-0.203,270,,
C4,Top,0.151,-0.204,270,,
C5,Bottom,-0.223,-0.267,45,,
C6,Bottom,-0.232,-0.218,180,,
C7,Top,-0.117,0,90,,
IR1,Top,-0.234,-0.234,135,,
IR2,Top,0.234,0.234,135,,
J1,Bottom,0,0.039,0,,
J2,Top,0,0,0,,
R1,Top,-0.161,0.155,0,,New location compared to rev1.0
R2,Top,0.091,-0.285,180,,
R3,Top,-0.004,-0.297,180,,
R4,Top,-0.091,-0.297,0,,
R5,Top,0.127,0.304,160,,New location compared to rev1.0
R6,Top,-0.31,-0.135,115,,New location compared to rev1.0
U1,Bottom,0,-0.197,0,,
U2,Top,0.204,-0.063,270,,
